Price,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,BB_Width
Ticker,BTC-USD,BTC-USD,,,,,,,
Date,,,,,,,,,
2024-07-19,66710.15625,37003855410,61834.92068540244,62778.349343842434,58536.8389932762,77.11010812289763,487.4119665703183,-665.0696956174926,0.22364702084633048
2024-07-20,67163.6484375,19029581250,62342.41856655458,62950.3218573192,58622.677898362796,75.5426461519612,831.659141868091,-365.72392812037583,0.2422985666360581
2024-07-21,68154.5234375,26652190004,62895.95236378748,63154.40819379688,58717.522138210246,88.74451090341454,1170.935029729677,-58.392136550365215,0.263873349706816
2024-07-22,67585.25,42649109453,63342.55213866487,63328.166696000924,58805.758241520525,84.8868455457544,1377.993356775296,228.88496211476712,0.28008410856280974
2024-07-23,65927.671875,35605668666,63588.754018315834,63430.10807556952,58876.62305791516,74.82747961011323,1392.286459369163,461.5652615656464,0.2866635678475539
2024-07-24,65372.1328125,27470942309,63758.599617761945,63506.26590839033,58941.25499949305,73.49641548560264,1343.3017403544509,637.9125573234073,0.2815189265032568
2024-07-25,65777.2265625,38315761670,63950.8498029751,63595.32318894365,59009.27462091282,75.95634631099345,1321.9302882448683,774.7161035076996,0.27314299208587717
2024-07-26,67912.0625,30488630457,64328.10815507271,63764.607083494884,59097.85957993307,78.08812387583399,1460.4218431362679,911.8572514334132,0.27508224002188075
2024-07-27,67813.3359375,34691905492,64660.03461054198,63923.38076404411,59184.5807425654,75.86345981053849,1544.4080154228577,1038.367404231302,0.2604551274490594
2024-07-28,68255.8671875,18043166945,65002.49485596655,64093.282192414925,59274.84230422464,74.12718448390791,1627.9106943890074,1156.2760622628432,0.24663737180070117
2024-07-29,66819.9140625,40780682628,65175.58239944593,64200.20893241827,59349.91764921482,57.59840852343601,1560.2323651529368,1237.067322840862,0.2314971694812064
2024-07-30,66201.015625,31380492109,65273.242706641555,64278.671939970496,59418.08778202358,54.17436770715405,1440.0567917895896,1277.6652166306076,0.20942308877546495
2024-07-31,64619.25,31292785994,65210.9576869614,64292.027942324596,59469.840642692216,51.80992157482122,1203.3105030657316,1262.7942739176324,0.1780490506128368
2024-08-01,65357.5,40975554494,65224.914097726985,64333.81116027265,59528.424321003055,54.79729164109938,1063.004316708677,1222.8362824758415,0.1425702959181621
2024-08-02,61415.06640625,43060875727,64862.07146044346,64219.350581683524,59547.19688005306,33.055979368324955,626.4676809821103,1103.5625621770953,0.1254111550394449
2024-08-03,60680.09375,31753030589,64463.78786897266,64080.556196127305,59558.46948631146,29.62008505639075,218.68226809398766,926.5865033604737,0.12624983790384586
2024-08-04,58116.9765625,31758917219,63859.329649308595,63846.69032814192,59544.126272399386,21.28678751428056,-307.7650221242875,679.7161982635214,0.1638073239301671
2024-08-05,53991.45703125,108991085584,62919.532257112536,63460.2105910089,59488.87582936751,17.688010154103566,-1045.8177047354766,334.60941766372173,0.2278953267957057
2024-08-06,56034.31640625,49300484106,62263.79741417325,63168.99905435169,59454.502102026476,26.90680125835962,-1449.1828169837245,-22.149029265767613,0.2596752812692331
2024-08-07,55027.4609375,41637562185,61574.62251163294,62849.723049769265,59410.45193898048,26.351589803085588,-1829.0136652040455,-383.5219564534233,0.2925488555196771
2024-08-08,61710.13671875,45298472567,61587.52862659646,62805.03338972929,59433.33437573406,42.77588397285965,-1572.6675305167882,-621.3510712660964,0.29232143766478963
2024-08-09,60880.11328125,33425553115,61520.15573656347,62729.54632665167,59447.73018644551,36.902479594273345,-1420.1171005707438,-781.104277127026,0.29160033227798693
2024-08-10,60945.8125,15745822278,61465.45638070028,62659.59598050846,59462.63647884675,37.1929779575562,-1279.1728989683324,-880.7180014952875,0.28615753399291144
2024-08-11,58719.484375,22759754812,61203.93523730025,62505.08179990028,59455.24193019414,33.32529188938871,-1331.7678860437227,-970.9279784049746,0.28584728354521155
2024-08-12,59354.515625,37078637820,61027.80003612879,62381.53018519831,59454.23967835345,36.57033347790292,-1307.1401792105535,-1038.1704185660906,0.2862279306818857
2024-08-13,60609.56640625,30327698167,60987.96826185462,62312.04140955328,59465.73546723265,40.166488303679365,-1172.8307718858778,-1065.102489230048,0.2841893153225394
2024-08-14,58737.26953125,29961696180,60773.61600179704,62171.8542770708,59458.487049620904,39.760180235440366,-1203.594026581508,-1092.80079670034,0.28350448312915005
2024-08-15,57560.09765625,35682112440,60467.56663555447,61991.001076254295,59439.59760204787,36.629984665709934,-1307.8855691312929,-1135.8177511865306,0.2748019964527123
2024-08-16,58894.10546875,29350938673,60317.713191096904,61869.5541896855,59434.16981937869,45.25271537801087,-1268.2742106545484,-1162.3090430801342,0.25827164476645814
2024-08-17,59478.97265625,13589684021,60237.8331401591,61775.80589425666,59434.61561877073,47.725279025742054,-1176.1303312422388,-1165.0733007125552,0.2321140184511172
2024-08-18,58483.96484375,17740625837,60070.79806431061,61646.71408835444,59425.15640665482,50.738900758791125,-1169.9084810617423,-1166.0403367823926,0.21077451404200803
